cbo_2002,total_registros
NULL,6180657
521110,663792
411005,557051
411010,499727
514320,429292
784205,300286
421125,239211
513435,237158
517410,233168
513205,226833
717020,216698
422310,195295
517330,186868
322205,180584
782510,175445
422105,162324
521125,155700
414105,146899
514225,131713
212405,127811
513505,121714
422305,116334
521115,106260
721215,101729
410105,99896
715210,99832
783225,86929
521140,84322
354125,79644
513405,78959
142105,73178
862150,72755
252105,71628
223505,69581
521105,69153
782310,67786
784105,67466
322230,60959
331110,60161
514325,59489
521135,57998
514210,57275
234505,57264
782410,55967
422315,54640
413225,53467
351405,53108
782305,52599
141415,48563
848510,47195
142305,46395
519110,46383
142320,45879
520110,45741
914405,45161
517420,44743
413110,43776
911305,42561
422110,41926
513425,41849
731180,41705
414215,40323
252210,40100
782220,40014
521130,38255
331205,37630
391205,37281
414110,37083
252405,35717
783210,34918
354130,34315
391115,34312
141510,33693
141410,33220
514110,32915
782405,32868
212420,32657
351305,31974
371410,31969
716610,31472
414140,31379
223405,31237
511215,30608
724315,30119
715615,29669
252305,29106
710205,28874
313215,28567
354205,28409
413210,27362
622010,26959
514120,26747
813125,26714
253215,25899
511105,25815
848305,25293
331105,24873
322415,24305
234520,24293
951105,24238
412205,23897
351605,23673
225125,23208
724440,23195
715505,22637
724110,21698
811715,21434
421310,21329
514310,20965
317110,20847
215305,20691
421105,20671
519935,20609
354145,20033
992225,19805
862155,19780
763210,19583
771105,19516
231205,19485
354305,19391
231210,19337
621005,19241
513315,19238
142330,18922
521120,18519
411030,18517
783215,18512
724205,18385
524105,18231
783205,18153
354120,18153
251605,17757
420135,17629
231105,17232
414210,16941
354135,16842
991405,16629
141205,15928
721210,15916
317210,15915
715525,15858
212410,15694
732105,15488
848310,15139
517305,14854
513415,14765
515105,14697
516210,14693
223115,14581
513420,14545
517215,14458
391125,14416
413205,14369
732130,14336
214205,14282
142115,13962
342535,13856
239405,13551
324115,13456
411045,13400
333110,13365
415205,13220
413115,13190
317205,13070
514205,13057
142520,12969
414125,12852
142335,12777
774105,12775
422320,12710
841408,12567
241005,12518
224120,12518
313220,12497
391210,12489
721225,12283
252545,12257
313205,12194
252205,12139
725105,11993
422205,11890
313315,11799
914425,11770
221105,11735
517425,11709
715230,11692
324205,11684
311105,11609
313130,11608
342125,11411
314110,11360
223710,11286
212210,11250
513430,11224
212205,11078
142605,10938
312105,10786
239410,10768
725205,10643
422120,10517
232115,10408
334110,10367
342105,10365
251215,10243
234515,10181
253225,10155
334105,10101
142315,10100
223605,10025
725010,10015
841810,9919
253120,9894
214305,9815
715315,9763
313310,9626
784110,9467
716405,9397
715125,9242
841745,9195
515215,9141
142705,9124
519940,9109
763215,9078
141615,9070
721105,9017
715305,8751
342120,8673
715610,8662
517415,8651
333115,8602
395105,8576
301105,8547
731320,8485
517310,8411
715545,8311
724220,8256
141405,8241
333105,8221
351505,8156
517220,8112
410205,8040
142205,8009
262410,8005
811805,7989
514215,7977
811420,7946
214340,7893
354815,7812
214905,7783
911205,7724
724410,7711
351425,7473
766315,7432
516345,7400
231110,7382
732120,7334
111345,7270
313120,7213
214405,7128
411025,7103
515305,7057
723315,7032
516110,6973
413105,6958
721430,6935
141710,6928
234616,6881
391215,6856
519925,6840
141515,6799
421120,6780
131310,6747
991305,6716
515210,6697
233215,6669
239415,6662
411020,6660
731150,6653
224125,6546
351430,6522
231310,6497
515225,6462
510310,6459
223208,6458
354150,6450
231335,6349
142510,6326
953115,6295
732110,6290
214910,6234
818110,6173
352210,6156
325115,6035
848315,6028
231315,5988
723215,5985
411040,5950
354140,5942
331305,5897
212315,5866
413230,5860
512105,5846
731110,5844
342305,5815
212310,5800
222110,5757
314310,5741
314410,5733
763125,5715
410225,5704
523110,5702
511210,5670
622425,5609
351105,5603
203210,5601
342315,5566
910105,5563
511205,5534
225124,5479
313115,5477
811770,5460
991105,5434
142405,5400
412110,5384
253115,5308
271105,5270
261205,5254
783110,5230
251510,5213
520105,5178
313105,5178
716305,5177
413220,5154
141605,5112
123105,5091
121010,5077
254310,5047
351715,5028
731135,5028
421205,5003
223305,4991
214310,4976
715115,4972
782515,4972
992115,4964
517405,4913
422215,4857
377110,4852
730105,4808
253125,4755
721405,4740
515110,4713
233210,4713
111405,4704
342550,4703
142210,4693
516305,4689
622020,4687
723330,4669
720215,4649
414135,4640
721325,4563
821445,4553
763010,4514
766215,4441
641015,4439
517110,4415
313210,4408
410235,4402
342110,4378
524305,4359
724115,4349
231340,4335
951315,4322
914410,4261
301110,4261
510135,4243
991315,4222
123305,4171
354210,4163
725705,4156
919205,4151
223810,4080
721220,4073
513215,4068
723320,4041
231305,4033
914105,4026
911120,4024
724435,3978
325110,3969
420105,3937
821405,3907
731325,3902
516320,3898
241040,3882
313320,3847
318610,3847
233225,3833
322130,3775
311110,3756
261215,3753
239220,3740
342205,3641
622505,3546
724510,3537
353235,3524
862205,3521
313415,3518
234705,3517
991310,3507
314405,3494
223905,3488
131305,3484
914305,3483
519910,3483
300305,3462
313305,3461
252525,3443
721410,3441
251225,3420
722105,3396
313110,3388
731105,3384
716525,3367
951305,3327
766205,3327
241010,3326
731205,3323
766120,3315
763015,3314
415210,3308
371105,3305
510130,3280
221205,3270
414205,3246
261125,3246
203215,3197
314120,3178
231325,3155
420125,3113
322215,3098
763105,3097
516310,3086
763110,3079
252310,3055
513615,3053
724130,3046
212305,3043
999999,3041
840105,3037
253110,3025
318005,3008
422210,2996
203105,2966
415105,2954
231320,2943
783220,2926
992205,2925
515325,2923
234405,2920
421305,2899
141305,2878
212215,2874
225250,2851
352310,2809
141420,2806
251505,2801
317105,2800
519320,2798
374420,2785
415130,2781
513610,2775
523105,2767
731175,2681
731160,2669
312320,2665
950110,2658
516220,2647
251530,2621
213205,2610
782610,2600
261120,2599
374110,2590
410220,2581
992105,2577
251205,2568
841448,2560
262710,2559
373205,2557
351315,2547
862305,2529
253210,2526
954105,2524
142530,2519
334115,2506
342310,2496
823320,2493
516205,2481
141705,2478
715715,2476
410240,2464
519905,2464
252715,2457
322225,2439
234435,2432
919110,2423
716510,2419
410230,2407
141505,2402
841468,2399
212320,2395
782505,2370
314115,2353
324210,2351
414120,2345
741115,2344
111415,2333
332105,2320
214915,2310
391135,2305
811110,2303
325210,2301
513115,2282
862120,2274
142310,2265
317115,2251
325105,2246
715705,2241
715405,2241
723310,2229
234310,2223
724505,2211
515310,2208
725015,2205
214105,2188
410215,2182
510110,2180
516325,2156
828110,2152
722215,2148
722415,2142
212415,2132
374210,2125
372205,2122
318405,2112
354110,2109
519205,2105
732135,2089
752305,2078
351730,2077
513220,2060
233120,2052
251520,2043
724415,2038
724515,2034
131210,2028
913120,2028
510125,2027
354820,2012
352205,2011
512115,1980
223550,1978
351510,1973
253105,1972
841815,1962
954125,1938
514105,1932
811775,1920
142410,1917
391105,1917
225140,1917
239430,1912
312205,1909
741110,1891
322235,1884
513605,1877
421115,1849
318510,1843
372115,1842
212430,1840
510105,1836
123110,1833
142515,1828
351725,1818
782205,1816
224105,1811
131120,1810
342210,1799
342505,1797
782625,1796
322405,1796
623020,1782
322420,1780
811745,1778
992210,1767
325205,1763
354705,1753
765235,1750
721425,1747
731305,1744
261305,1743
731330,1743
225151,1742
234624,1732
332205,1730
374405,1718
253220,1717
371405,1715
716615,1704
203015,1696
391220,1678
300105,1674
515220,1668
720110,1665
371110,1656
261135,1655
715135,1646
524215,1641
232130,1638
954120,1628
420110,1606
724325,1605
391130,1598
351720,1596
516610,1592
313125,1591
715410,1580
318015,1578
321105,1571
131115,1567
231330,1561
911325,1545
516120,1544
225133,1543
225130,1541
203005,1537
232150,1535
623110,1532
261210,1531
752210,1529
391120,1522
818105,1522
773355,1508
232155,1508
225270,1496
623125,1487
841805,1486
761260,1481
234410,1479
721205,1476
214270,1474
913105,1473
318505,1470
716105,1469
511110,1466
731170,1465
766220,1463
516215,1459
214320,1446
311710,1446
514305,1444
314305,1440
371310,1432
322410,1428
761410,1426
141610,1423
715205,1422
412120,1422
424105,1420
214260,1411
760605,1397
810205,1396
374105,1395
342115,1395
766310,1390
914415,1388
351705,1383
711230,1381
353230,1380
142415,1375
351740,1369
311410,1368
351115,1366
517115,1362
519315,1362
224135,1355
721315,1348
234810,1344
252515,1344
214410,1332
142505,1328
848110,1322
123115,1314
992215,1313
731120,1310
724320,1308
322210,1304
780105,1302
715725,1301
142325,1299
715110,1295
622005,1295
715140,1293
351110,1290
342540,1287
232120,1277
715130,1261
810110,1258
373105,1257
766320,1257
632615,1253
992120,1253
318205,1252
821450,1249
766230,1246
114205,1245
510115,1243
414115,1238
311715,1237
848505,1234
313410,1234
225265,1234
318805,1230
848525,1225
318605,1221
516340,1215
821440,1213
262330,1211
251540,1210
223153,1200
725020,1195
712205,1188
234450,1176
782115,1168
763325,1163
372210,1161
513410,1156
318705,1155
813115,1153
261805,1152
241225,1147
232165,1142
342410,1141
860115,1131
519305,1125
142125,1123
516115,1121
223510,1119
950305,1119
262830,1116
725415,1114
377105,1110
992220,1110
423105,1108
910910,1107
225150,1105
514330,1093
232110,1080
919105,1077
214215,1073
513210,1071
765015,1067
915305,1063
342215,1058
261110,1053
766405,1048
234510,1047
519210,1041
715105,1039
111510,1037
782320,1034
322505,1032
342520,1029
763320,1023
320105,1019
254410,1014
773415,1011
223530,1009
225320,1004
823325,1003
517315,1003
262405,1003
950105,999
373220,999
741105,998
641010,994
223410,992
261715,991
951310,990
232140,987
731155,976
121005,973
782120,973
720150,970
524210,965
848325,964
375110,962
723125,958
318010,953
731125,950
766250,950
142110,948
717010,944
354810,943
225225,940
123705,940
354805,939
516505,935
821215,931
232105,927
622110,926
223310,926
811760,925
715510,925
811705,923
214505,916
622015,915
232135,914
782145,907
514315,902
311405,900
622405,900
261730,898
375115,895
214365,893
214610,893
